trade_date,name,close,call_put,exe_price,last_edate
2019/12/23,IO2004-C-4150.CFX,91.2,C,4150,2020/04/17 0:00
2019/12/23,IO2012-C-3900.CFX,352.4,C,3900,2020/12/18 0:00
2019/12/23,IO2002-P-3800.CFX,29.6,P,3800,2020/02/21 0:00
2019/12/23,IO2012-C-4400.CFX,163.0,C,4400,2020/12/18 0:00
2019/12/23,IO2009-P-4400.CFX,470.2,P,4400,2020/09/18 0:00
2019/12/23,IO2006-P-4200.CFX,325.4,P,4200,2020/06/19 0:00
2019/12/23,IO2006-P-3900.CFX,144.8,P,3900,2020/06/19 0:00
2019/12/23,IO2004-C-3850.CFX,227.8,C,3850,2020/04/17 0:00
2019/12/23,IO2003-P-4300.CFX,348.8,P,4300,2020/03/20 0:00
2019/12/23,IO2003-P-4150.CFX,233.0,P,4150,2020/03/20 0:00
2019/12/23,IO2009-C-4300.CFX,150.4,C,4300,2020/09/18 0:00
2019/12/23,IO2004-P-3850.CFX,71.0,P,3850,2020/04/17 0:00
2019/12/23,IO2004-P-3950.CFX,107.4,P,3950,2020/04/17 0:00
2019/12/23,IO2003-P-4400.CFX,434.4,P,4400,2020/03/20 0:00
2019/12/23,IO2006-P-3700.CFX,62.0,P,3700,2020/06/19 0:00
2019/12/23,IO2003-C-3950.CFX,151.2,C,3950,2020/03/20 0:00
2019/12/23,IO2009-C-4000.CFX,261.2,C,4000,2020/09/18 0:00
2019/12/23,IO2002-C-4450.CFX,9.2,C,4450,2020/02/21 0:00
2019/12/23,IO2002-C-3800.CFX,223.6,C,3800,2020/02/21 0:00
2019/12/23,IO2002-P-4200.CFX,245.0,P,4200,2020/02/21 0:00
2019/12/23,IO2006-C-4100.CFX,142.4,C,4100,2020/06/19 0:00
2019/12/23,IO2003-C-4150.CFX,74.0,C,4150,2020/03/20 0:00
2019/12/23,IO2004-C-3950.CFX,172.4,C,3950,2020/04/17 0:00
2019/12/23,IO2012-P-3800.CFX,162.6,P,3800,2020/12/18 0:00
2019/12/23,IO2003-P-3800.CFX,53.2,P,3800,2020/03/20 0:00
2019/12/23,IO2003-C-4000.CFX,130.0,C,4000,2020/03/20 0:00
2019/12/23,IO2006-P-4400.CFX,476.4,P,4400,2020/06/19 0:00
2019/12/23,IO2003-C-3900.CFX,181.4,C,3900,2020/03/20 0:00
2019/12/23,IO2004-P-4050.CFX,162.0,P,4050,2020/04/17 0:00
2019/12/23,IO2004-P-3750.CFX,46.0,P,3750,2020/04/17 0:00
2019/12/23,IO2004-P-4200.CFX,266.0,P,4200,2020/04/17 0:00
2019/12/23,IO2003-C-4350.CFX,33.2,C,4350,2020/03/20 0:00
2019/12/23,IO2004-P-4250.CFX,263.6,P,4250,2020/04/17 0:00
2019/12/23,IO2003-P-3850.CFX,69.2,P,3850,2020/03/20 0:00
2019/12/23,IO2002-C-4050.CFX,79.0,C,4050,2020/02/21 0:00
2019/12/23,IO2009-P-3800.CFX,128.2,P,3800,2020/09/18 0:00
2019/12/23,IO2012-P-4200.CFX,367.6,P,4200,2020/12/18 0:00
2019/12/23,IO2002-C-3650.CFX,360.0,C,3650,2020/02/21 0:00
2019/12/23,IO2006-C-4000.CFX,183.0,C,4000,2020/06/19 0:00
2019/12/23,IO2003-P-4100.CFX,199.2,P,4100,2020/03/20 0:00
2019/12/23,IO2002-C-4350.CFX,16.0,C,4350,2020/02/21 0:00
2019/12/23,IO2004-C-3700.CFX,362.0,C,3700,2020/04/17 0:00
2019/12/23,IO2002-P-4100.CFX,166.6,P,4100,2020/02/21 0:00
2019/12/23,IO2003-C-3650.CFX,362.6,C,3650,2020/03/20 0:00
2019/12/23,IO2003-C-3750.CFX,278.2,C,3750,2020/03/20 0:00
2019/12/23,IO2002-C-4100.CFX,63.2,C,4100,2020/02/21 0:00
2019/12/23,IO2012-C-4300.CFX,191.4,C,4300,2020/12/18 0:00
2019/12/23,IO2006-C-4400.CFX,66.0,C,4400,2020/06/19 0:00
2019/12/23,IO2002-C-3750.CFX,260.4,C,3750,2020/02/21 0:00
2019/12/23,IO2012-P-3900.CFX,206.6,P,3900,2020/12/18 0:00
