date,on,1w,2w,1m,3m,6m,9m,1y
2020/04/17,0.716,1.737,1.307,1.308,1.403,1.499,1.594,1.683
2020/04/16,0.702,1.657,1.318,1.324,1.428,1.516,1.603,1.694
2020/04/15,0.801,1.632,1.35,1.341,1.447,1.539,1.631,1.712
2020/04/14,0.994,1.707,1.387,1.353,1.46,1.556,1.644,1.733
2020/04/13,1.378,1.851,1.361,1.365,1.485,1.579,1.668,1.758
2020/04/10,1.349,1.813,1.325,1.4,1.507,1.606,1.702,1.794
2020/04/09,1.182,1.68,1.283,1.473,1.558,1.665,1.769,1.855
2020/04/08,0.893,1.739,1.333,1.553,1.647,1.759,1.87,1.951
2020/04/07,0.806,1.773,1.382,1.659,1.73,1.859,1.993,2.07
2020/04/03,1.001,1.831,1.537,1.741,1.844,1.956,2.075,2.165
2020/04/02,1.278,1.857,1.621,1.772,1.889,1.982,2.098,2.202
2020/04/01,1.403,2.004,1.736,1.809,1.918,2.015,2.123,2.226
2020/03/31,1.614,2.147,1.854,1.827,1.933,2.033,2.14,2.25
2020/03/30,1.374,2.163,1.786,1.835,1.948,2.051,2.159,2.274
2020/03/27,1.104,1.769,1.69,1.857,1.966,2.072,2.198,2.305
2020/03/26,0.845,1.72,1.666,1.869,1.977,2.091,2.216,2.324
2020/03/25,0.847,1.745,1.66,1.897,2.01,2.131,2.245,2.355
2020/03/24,0.814,1.693,1.668,1.938,2.056,2.17,2.293,2.392
2020/03/23,0.845,1.805,1.732,1.962,2.072,2.191,2.312,2.41
2020/03/20,0.795,1.945,1.774,1.993,2.087,2.218,2.342,2.438
2020/03/19,0.846,1.893,1.732,2.008,2.104,2.242,2.362,2.451
2020/03/18,0.963,1.751,1.774,2.032,2.12,2.263,2.387,2.464
2020/03/17,1.083,1.896,1.85,2.063,2.145,2.295,2.4,2.482
2020/03/16,1.231,2.199,1.969,2.093,2.175,2.33,2.418,2.491
2020/03/13,1.414,2.252,1.993,2.119,2.202,2.359,2.438,2.513
2020/03/12,1.664,2.309,2.035,2.13,2.223,2.365,2.45,2.534
2020/03/11,2.118,2.3,2.039,2.145,2.224,2.379,2.47,2.557
2020/03/10,2.014,2.241,1.979,2.132,2.225,2.391,2.481,2.586
2020/03/09,1.588,2.074,1.905,2.115,2.238,2.407,2.494,2.591
2020/03/06,1.362,2.035,1.912,2.126,2.258,2.427,2.516,2.616
2020/03/05,1.45,2.089,1.949,2.15,2.29,2.467,2.553,2.651
2020/03/04,1.462,2.052,1.964,2.174,2.332,2.499,2.581,2.679
2020/03/03,1.622,2.094,1.99,2.229,2.375,2.528,2.614,2.706
2020/03/02,1.714,2.129,2.051,2.27,2.408,2.548,2.635,2.722
2020/02/28,1.628,2.374,2.092,2.301,2.429,2.56,2.642,2.735
2020/02/27,1.347,2.192,2.086,2.301,2.433,2.564,2.648,2.74
2020/02/26,1.499,2.183,2.073,2.306,2.442,2.577,2.66,2.744
2020/02/25,1.602,2.203,2.084,2.318,2.459,2.59,2.673,2.752
2020/02/24,1.533,2.176,2.103,2.33,2.476,2.601,2.688,2.755
2020/02/21,1.355,2.245,2.111,2.343,2.489,2.605,2.692,2.76
2020/02/20,1.403,2.308,2.115,2.359,2.5,2.61,2.697,2.767
2020/02/19,1.626,2.268,2.134,2.371,2.51,2.618,2.704,2.773
2020/02/18,1.503,2.293,2.117,2.387,2.525,2.633,2.71,2.786
2020/02/17,1.425,2.261,2.129,2.4,2.545,2.651,2.727,2.807
2020/02/14,1.256,2.233,2.103,2.416,2.565,2.664,2.744,2.817
2020/02/13,1.443,2.324,2.126,2.454,2.605,2.691,2.763,2.834
2020/02/12,1.521,2.286,2.11,2.495,2.639,2.723,2.783,2.845
2020/02/11,1.56,2.225,2.141,2.527,2.679,2.758,2.801,2.856
2020/02/10,1.652,2.289,2.23,2.577,2.723,2.787,2.823,2.877
2020/02/07,1.793,2.306,2.292,2.628,2.753,2.81,2.843,2.897
2020/02/06,1.819,2.366,2.345,2.651,2.776,2.833,2.875,2.913
2020/02/05,2.051,2.343,2.435,2.696,2.799,2.853,2.894,2.936
2020/02/04,2.273,2.416,2.585,2.76,2.824,2.877,2.91,2.959
2020/02/03,2.504,2.607,2.62,2.806,2.852,2.903,2.94,2.98
2020/01/23,2.444,2.549,2.797,2.822,2.858,2.914,2.951,2.995
2020/01/22,1.534,2.607,2.814,2.82,2.858,2.912,2.95,2.995
2020/01/21,1.885,2.601,2.837,2.816,2.859,2.91,2.953,2.995
